victim,config,condition,target_family,n,mean_target_budget_share,mean_time_to_exit,mean_final_two_round_target_share,mean_library_contamination_rate
quantaalpha,multi_agent,same_family_null,candlestick,5,0.225,5.4,0.1,0.9527777777777777
quantaalpha,multi_agent,same_family_null,liquidity_pulse,5,0.025,2,0.1,0.95
quantaalpha,multi_agent,same_family_null,momentum,5,0.325,6.8,0.2,1.0
quantaalpha,multi_agent,same_family_null,price_extrema,5,0.425,7.4,0.4,0.98
quantaalpha,multi_agent,same_family_null,return_balance,5,0.325,6.8,0.2,0.975
quantaalpha,multi_agent,same_family_null,volatility_regression,5,0.25,4.6,0.4,0.8580952380952381
quantaalpha,multi_agent,sealed_hard_gate,candlestick,5,0.475,8,0.5,0.0
quantaalpha,multi_agent,sealed_hard_gate,liquidity_pulse,5,0.425,7.8,0.3,0.0
quantaalpha,multi_agent,sealed_hard_gate,momentum,5,0.025,2.4,0,0.0
quantaalpha,multi_agent,sealed_hard_gate,price_extrema,5,0.45,8.4,0.4,0.0
quantaalpha,multi_agent,sealed_hard_gate,return_balance,5,0.1,2.2,0,0.0
quantaalpha,multi_agent,sealed_hard_gate,volatility_regression,5,0.425,8,0.4,0.0
quantaalpha,multi_agent,selected_family,candlestick,5,0.5,9,0.5,0.5896825396825397
quantaalpha,multi_agent,selected_family,liquidity_pulse,5,0.375,7.4,0.3,0.7288888888888889
quantaalpha,multi_agent,selected_family,momentum,5,0.45,8.4,0.4,0.9492063492063492
quantaalpha,multi_agent,selected_family,price_extrema,5,0.5,9,0.5,0.8165079365079365
quantaalpha,multi_agent,selected_family,return_balance,5,0.325,6.8,0.2,0.9714285714285714
quantaalpha,multi_agent,selected_family,volatility_regression,5,0.45,8.4,0.4,0.7797619047619048
quantaalpha,multi_agent,selected_then_failure,candlestick,5,0.45,7.6,0.4,0.5821428571428572
quantaalpha,multi_agent,selected_then_failure,liquidity_pulse,5,0.35,6.8,0.3,0.6933333333333334
quantaalpha,multi_agent,selected_then_failure,momentum,5,0.45,8.4,0.4,0.9777777777777777
quantaalpha,multi_agent,selected_then_failure,price_extrema,5,0.475,8.4,0.5,0.8261904761904761
quantaalpha,multi_agent,selected_then_failure,return_balance,5,0.375,7.4,0.3,1.0
quantaalpha,multi_agent,selected_then_failure,volatility_regression,5,0.475,8.8,0.4,0.7664285714285715
quantaalpha,single_agent,same_family_null,candlestick,5,0.675,6.8,0.6,0.9178571428571428
quantaalpha,single_agent,same_family_null,liquidity_pulse,5,0.0,2,0,0.95
quantaalpha,single_agent,same_family_null,momentum,5,0.8,7.8,0.8,1.0
quantaalpha,single_agent,same_family_null,price_extrema,5,0.9,7.8,0.8,0.975
quantaalpha,single_agent,same_family_null,return_balance,5,0.55,6.6,0.2,1.0
quantaalpha,single_agent,same_family_null,volatility_regression,5,0.45,4.4,0.4,0.8583333333333334
quantaalpha,single_agent,sealed_hard_gate,candlestick,5,0.575,6.6,0.6,0.0
