contrast,estimate,ci95_low,ci95_high,exact_sign_p,positive,negative,ties
rdagent_ma_selected_vs_null_budget,0.25833333333333336,0.17083333333333334,0.35,0.001543879508972168,20,4,6
rdagent_sa_selected_vs_null_budget,0.30416666666666664,0.2,0.4125,0.00012111663818359375,20,2,8
rdagent_did_budget,-0.04583333333333333,-0.15416666666666667,0.06666666666666667,0.42435622215270996,10,15,5
rdagent_ma_selected_vs_gate_budget,-0.041666666666666664,-0.1375,0.05416666666666667,0.7011080384254456,12,15,3
rdagent_ma_failure_vs_null_final,0.0,-0.15,0.15,1.0,7,6,17
rdagent_ma_selected_vs_gate_contamination,0.8092135642135642,0.7750332491582492,0.8452558922558921,1.862645149230957e-09,30,0,0
quantaalpha_ma_selected_vs_null_budget,0.17083333333333334,0.09166666666666666,0.25,0.01690053939819336,17,5,8
quantaalpha_sa_selected_vs_null_budget,0.22083333333333333,0.08333333333333333,0.3541666666666667,0.01181793212890625,16,4,10
quantaalpha_did_budget,-0.05,-0.16666666666666666,0.06666666666666667,1.0,11,12,7
quantaalpha_ma_selected_vs_gate_budget,0.11666666666666667,0.05416666666666667,0.175,0.021270751953125,13,3,14
quantaalpha_ma_failure_vs_null_final,0.15,0.016666666666666666,0.2833333333333333,0.063568115234375,14,5,11
quantaalpha_ma_selected_vs_gate_contamination,0.8059126984126984,0.7687033730158729,0.8419179894179896,1.862645149230957e-09,30,0,0
